lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t,geometry
28.049,80.55,302.4,1.2,1.1,52.0,4.3,mod,2024-01-06,13:59:10,015297,A,UP,,,,3243806,,1,2024-01-06,POINT (80.55000305175781 28.04899978637695)
27.477,82.452,305.4,1.5,1.2,61.0,8.8,mod,2024-01-06,13:59:10,015297,A,UP,,,,3243801,,1,2024-01-06,POINT (82.45200347900391 27.47699928283691)
24.53,72.803,307.1,1.2,1.1,61.0,7.7,mod,2024-01-06,11:01:57,027939,T,RJ,,,,3243375,,1,2024-01-06,POINT (72.80300140380859 24.53000068664551)
27.201,74.254,304.0,1.3,1.1,48.0,6.3,mod,2024-01-06,11:01:57,027939,T,RJ,,,,3243355,,1,2024-01-06,POINT (74.25399780273438 27.20100021362305)
25.334,73.222,309.2,1.2,1.1,64.0,8.6,mod,2024-01-06,11:01:57,027939,T,RJ,,,,3243361,,1,2024-01-06,POINT (73.22200012207031 25.33399963378906)
25.801,71.401,307.7,1.0,1.0,49.0,4.2,mod,2024-01-06,11:01:57,027939,T,RJ,,,,3243358,,1,2024-01-06,POINT (71.4010009765625 25.80100059509277)
27.221,74.259,302.6,1.3,1.1,26.0,5.2,mod,2024-01-06,11:01:57,027939,T,RJ,,,,3243354,,1,2024-01-06,POINT (74.25900268554688 27.22100067138672)
27.528,80.874,304.3,1.2,1.1,59.0,6.5,mod,2024-01-06,13:59:10,015297,A,UP,,,,3243802,,1,2024-01-06,POINT (80.87400054931641 27.52799987792969)
29.418,78.587,305.1,1.0,1.0,60.0,6.3,mod,2024-01-06,13:59:10,015297,A,UP,,,,3243813,,1,2024-01-06,POINT (78.58699798583984 29.41799926757812)
28.062,79.187,300.2,1.1,1.0,32.0,3.9,mod,2024-01-06,13:59:10,015297,A,UP,,,,3243807,,1,2024-01-06,POINT (79.18699645996094 28.0620002746582)
27.46,79.779,302.7,1.1,1.0,42.0,4.1,mod,2024-01-06,13:59:10,015297,A,UP,,,,3243803,,1,2024-01-06,POINT (79.77899932861328 27.45999908447266)
27.701,80.303,302.5,1.2,1.1,52.0,4.8,mod,2024-01-06,13:59:10,015297,A,UP,,,,3243804,,1,2024-01-06,POINT (80.30300140380859 27.70100021362305)
27.836,80.639,302.8,1.2,1.1,53.0,4.7,mod,2024-01-06,13:59:10,015297,A,UP,,,,3243805,,1,2024-01-06,POINT (80.63899993896484 27.83600044250488)
28.47429,79.86541,338.5,0.6,0.5,8.0,7.0,npp,2024-01-06,12:39:25,063175,VF375,UP,,,,3243720,,1,2024-01-06,POINT (79.86540985107422 28.47429084777832)
